Name,Team,PlayerId,ProcedureSCTID,InjurySCTID,On Date,Off Date,Days,preFB,preERA,postFB,postERA,offseason,reinjury,,,
Andrew Bailey,Red Sox,1368,183051005,202856007,4/29/2013,5/20/2013,21,94.7,1.46,93.2,7.84,No,Yes (severe),,,
Alexi Ogando,Rangers,10261,183051005,202856007,5/16/2013,6/5/2013,20,93.1,3.79,93.4,1.59,No,Yes (severe),,,
Michael Stutes,Phillies,6550,183051005,202856007,6/24/2013,9/20/2013,88,91.5,5.17,88.0,0.00,No,No,,,
Frank Francisco,Mets,1933,239454000,309464009,12/18/2012,9/7/2013,263,93.9,5.56,92.1,4.26,Yes,No,,,
Jenrry Mejia,Mets,8476,239454000,309464009,8/18/2013,4/3/2014,228,92.2,2.3,91.5,5.23,Yes,No,,,
Jason Hammel,Orioles,4538,183051005,442130003,7/29/2013,9/5/2013,38,92.5,4.95,92.8,3.31,No,No,,,
Jake Westbrook,Cardinals,412,183051005,298163003,5/9/2013,6/14/2013,36,89.7,1.62,89.3,4.04,No,No,,,
Jenrry Mejia,Mets,8476,183051005,298163003,3/31/2013,7/26/2013,117,94.1,5.63,92.2,2.30,No,Yes,,,
Nick Tepesch,Rangers,11716,183051005,298163003,7/6/2013,9/1/2013,57,91.6,7.42,91.4,4.70,No,No,,,
Scott Atchison,Mets,2642,183051005,298163003,5/14/2013,6/18/2013,35,90.6,4.91,91.8,0.00,No,No,,,
Sean Burnett,Angels,1886,281761002,298163003,5/27/2013,3/30/2014,307,88.5,0.00,86.4,13.50,Yes,Yes (severe),,,
Fernando Rodriguez Jr.,Athletics,7558,439632006,209429001,3/31/2013,3/31/2014,365,94.2,3.60,92.7,1.13,Yes,No,,,
Matt Guerrier,Cubs,2061,281761002,125596004,8/8/2013,5/7/2014,272,90.2,2.79,90.2,2.38,Yes,No,,,
Brett Cecil,Blue Jays,2660,183051005,125596004,9/13/2013,3/30/2014,198,90.9,4.26,90.8,4.38,Yes,No,,,
Matt Moore,Rays,1890,183051005,125596004,7/29/2013,9/3/2013,36,92.7,1.99,91.7,2.79,No,Yes (severe),,,
Zach Putnam,Cubs,9080,239454000,125596004,6/12/2013,4/17/2014,309,90.7,18.9,87.9,1.62,Yes,Yes (minor),,,
Joe Savery,Phillies,2835,183051005,125596004,7/23/2013,8/28/2013,36,90.6,1.64,89.6,6.43,No,No,,,
Alex Colome,Rays,6661,183051005,442130003,8/30/2013,5/26/2014,269,94.3,2.25,93.9,2.79,Yes,No,,,
Eric O'Flaherty,Braves,5746,439632006,442130003,5/18/2013,7/4/2014,412,90,2.61,89.7,1.86,Yes,No,,,
Vinnie Pestano,Indians,4782,183051005,331000119106,5/1/2013,5/17/2013,16,92.1,2.25,90.3,5.73,No,No,,,
Phil Irwin,Pirates,9489,439632006,331000119106,6/3/2013,7/8/2014,400,90.0,7.71,88.2,6.75,Yes,Yes (minor),,,
Colby Lewis,Rangers,1259,439632006,209429001,7/27/2012,4/29/2014,641,88.0,3.60,88.5,4.99,Yes,No, ,,
Blake Wood,Indians,1345,439632006,209429001,5/25/2012,7/14/2013,415,95.7,4.50,97.2,0.00,Yes,No,,,
Brandon Beachy,Braves,8851,439632006,209429001,6/21/2012,7/29/2013,403,91.1,2.50,90.1,4.5,Yes,Yes (severe),,,
Brian Wilson,Dodgers,6485,439632006,209429001,4/19/2012,8/19/2013,487,90.7,9.00,92.6,0.73,yes,Yes (moderate),,,
Charlie Morton,Pirates,4676,439632006,209429001,6/14/2012,6/13/2013,364,88.7,4.91,93.7,3.19,Yes,No,,,
Drew Hutchison,Blue Jays,10732,439632006,209429001,6/15/2012,8/10/2013,421,91.4,3.77,91.9,3.82,No,No,,,
Eric Surkamp,Giants,2540,439632006,209429001,7/24/2012,6/27/2013,338,87.9,5.74,86.8,23.63,Yes,No,,,
Jason Motte,Cardinals,5861,439632006,209429001,5/7/2013,5/30/2014,388,97.2,2.30,94.5,2.79,Yes,No,,,
Joakim Soria,Rangers,6941,439632006,209429001,4/2/2012,7/7/2013,461,91.8,4.63,90.2,3.86,Yes,No,,,
Joe Wieland,Padres,6109,439632006,209429001,7/27/2012,9/27/2013,427,89.8,4.55,91.7,7.15,Yes,Yes (severe),,,
Juan Carlos Oviedo,Rays,2886,439632006,209429001,9/6/2012,4/24/2014,595,94.2,4.15,91.7,1.72,Yes,No,,<----,another interesting case
Kyle Drabek,Blue Jays,4359,439632006,209429001,6/19/2012,7/5/2013,381,91.9,6.31,92.7,7.71,Yes,No,,<----,"this is an example of a ""good"" recovery"
Kyuji Fujikawa,Cubs,14443,439632006,209429001,5/27/2013,8/6/2014,436,92.7,1.17,90.5,3.86,Yes,No,,,
